UniqueID,Field Time,Bench Time,Player Load,Player Load / Min,Player Load / Metre,Max Hr,Min Hr,Mean Hr,Peak Player Load
1117,0:04,0:01,50.9287,12.40248,0,179,115,158.96874,4.06353
4025,0:04,0:01,60.95287,14.84362,0,176,0,147.93892,4.88171
799,0:04,0:01,54.77949,13.34024,0,189,118,167.2776,4.10327
866,0:04,0:01,59.70375,14.53943,0,181,120,162.60714,5.03714
4945,0:04,0:01,59.89824,14.5868,658.26396,194,139,181.04627,5.21428
2652,0:04,0:01,69.07411,16.82136,35.8268,186,0,181.21449,5.26444
4541,0:04,0:01,63.65495,15.50165,17.64764,0,0,0,5.16385
4840,0:04,0:01,62.99965,15.34207,0,177,0,165.40862,4.82841
2178,0:04,0:01,54.81697,13.34937,66.52566,186,141,170.71144,3.47267
2576,0:04,0:01,50.94636,12.40678,10.44197,193,0,187.57748,4.38555
2524,0:04,0:01,34.91472,8.50265,0,84,0,81.7041,5.34638
2179,0:04,0:01,13.09013,3.18779,0,155,128,145.43506,1.06805
4119,0:04,0:01,62.53292,15.22841,0,179,112,155.75487,5.51519
1195,0:04,0:01,64.48098,15.70281,0,0,0,0,5.26534
1624,0:04,0:01,79.01111,19.24128,0,190,122,166.76339,6.25128
1581,0:04,0:01,61.46509,14.96836,0,211,0,142.34927,5.34505
2658,0:04,0:01,10.91061,2.65702,0,0,0,0,0.77395
3806,0:04,0:01,60.73107,14.78961,0,168,92,145.56615,4.0455
4367,0:04,0:01,59.72058,14.54353,0,179,123,163.10227,4.31055
1682,0:04,0:01,62.70673,15.27073,0,175,120,158.08036,5.17546
4587,0:01,0:00,37.83153,25.40734,0,186,151,173.93505,3.46925
3359,0:01,0:00,30.13458,20.23813,0,174,136,160.11521,2.84527
1325,0:01,0:00,37.65363,25.28787,0,179,145,160.30649,4.15192
3879,0:01,0:00,36.43639,24.47038,0,185,135,169.34676,3.0725
1702,0:01,0:00,34.72401,23.32036,0,180,136,164.89709,3.42219
849,0:01,0:00,35.6675,23.954,0,193,162,180.78163,3.29617
4619,0:01,0:00,43.50117,29.21502,0,0,0,0,4.11467
1746,0:01,0:00,37.04443,24.87873,8.623,190,0,189.54595,3.0676
3984,0:01,0:00,37.65835,25.29103,0,172,0,164.01554,4.39279
3006,0:01,0:00,36.52809,24.53196,33.82225,186,148,173.03919,2.57548
2611,0:01,0:00,29.4431,19.77374,0,193,161,180.39709,3.15787
2196,0:01,0:00,2.08524,1.40043,0,139,118,131.12081,0.59605
4112,0:01,0:00,37.92936,25.47304,0,177,131,160.82774,3.53107
3966,0:01,0:00,37.3489,25.08321,0,0,0,0,3.51313
4842,0:01,0:00,46.08276,30.9488,0,177,96,155.10515,3.87203
3830,0:01,0:00,38.0509,25.55466,0,217,144,180.84676,3.75663
2115,0:01,0:00,0.91065,0.61159,0,0,0,0,0.18986
4194,0:01,0:00,38.21173,25.66268,0,169,120,152.06488,3.2803
5000,0:01,0:00,38.77196,26.03893,0,178,125,163.50895,3.3842
1837,0:01,0:00,39.30662,26.398,0,175,130,159.24497,3.31933
